bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
5.8,3.7339688,1.2882193,0.0096550509,-0.0014147353,-0.024314535,0.0014169126,0.345,nominal scale,rms
5.85,3.7340379,1.2882431,0.0091836895,-0.0013456371,-0.023713429,0.0013477118,0.345,nominal scale,rms
5.9,3.7341036,1.2882657,0.0087353623,-0.0012799184,-0.02312722,0.0012818952,0.345,nominal scale,rms
5.95,3.7341661,1.2882873,0.0083089416,-0.0012174136,-0.022555536,0.0012192969,0.345,nominal scale,rms
6,3.7342255,1.2883078,0.007903355,-0.001157965,-0.021998016,0.0011597591,0.345,nominal scale,rms
6.05,3.7342821,1.2883273,0.0075175829,-0.0011014229,-0.021454306,0.0011031319,0.345,nominal scale,rms
6.1,3.7343359,1.2883459,0.0071506558,-0.0010476447,-0.020924063,0.0010492726,0.345,nominal scale,rms
6.15,3.734387,1.2883635,0.0068016515,-0.00099649525,-0.020406949,0.00099804574,0.345,nominal scale,rms
6.2,3.7344357,1.2883803,0.0064696934,-0.0009478456,-0.019902639,0.00094932228,0.345,nominal scale,rms
6.25,3.7344819,1.2883963,0.0061539477,-0.00090157339,-0.019410814,0.00090297967,0.345,nominal scale,rms
6.3,3.734526,1.2884115,0.0058536215,-0.00085756221,-0.018931163,0.00085890138,0.345,nominal scale,rms
6.35,3.7345678,1.2884259,0.005567961,-0.00081570138,-0.018463383,0.00081697657,0.345,nominal scale,rms
6.4,3.7346077,1.2884396,0.0052962491,-0.00077588566,-0.018007179,0.00077709986,0.345,nominal scale,rms
6.45,3.7346455,1.2884527,0.0050378039,-0.00073801496,-0.017562264,0.00073917103,0.345,nominal scale,rms
6.5,3.7346816,1.2884651,0.004791977,-0.00070199412,-0.017128357,0.0007030948,0.345,nominal scale,rms
6.55,3.7347158,1.288477,0.0045581515,-0.00066773266,-0.016705184,0.00066878054,0.345,nominal scale,rms
6.6,3.7347485,1.2884882,0.0043357411,-0.0006351445,-0.016292478,0.00063614209,0.345,nominal scale,rms
