baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,poly3,28,313.088,10,1195.6756188391857,1455.1967887726778,14239.290348041613,1.254520855293734,1150.4048599624434,1426.4304775626379,1.3038887892467437,0.13472959690416542,0.11669492990985793,0.0075450586416655205,1.0003049960494232,1.0000328037617001
final_joint_baseline_44mer,poly3,29,314.34,10,1254.551044049961,1437.8754921825735,14059.100590730846,1.19564684682552,1255.0470605288724,1371.8521805188038,1.1951743063466522,0.12827817432583705,0.09301060871391693,0.006504004075175877,0.9999977635537632,0.999981988641278
final_joint_baseline_44mer,poly3,30,315.596,10,1065.6107166278443,1422.3801765316143,13790.240151836135,1.407643501134066,1148.7231666563516,1457.5582710516649,1.3057976399711064,0.0770551152099266,0.12926047776142213,0.0053977380566869754,0.9998413677829878,0.999669621882479
final_joint_baseline_44mer,poly3,31,316.858,10,1169.2639152230065,1458.8716464254308,14250.727506096564,1.2828583696726108,1126.3725261283387,1492.0742175401292,1.3317086178903215,0.10644903035978258,0.1602736687322309,0.008211852859379393,1.0001950559008588,1.0000661703103066
final_joint_baseline_44mer,poly3,32,318.124,10,1061.9857538522551,1453.4473810242048,14028.107867725055,1.4124483257509706,1254.0291004962437,1411.5151925527223,1.1961444909104748,0.08438265806457793,0.08508359288239876,0.008108734105309132,0.9996842587119747,0.9999343464695072
final_joint_baseline_44mer,poly3,33,319.396,10,1319.029110092403,1500.0,14500.750900895411,1.1372000727830178,1360.8422640790816,1470.8728671292458,1.1022585347281892,0.10633648471603813,0.14135666474088418,0.004733782323756001,1.0000064393777937,0.999701621902654
final_joint_baseline_44mer,poly3,34,320.672,10,1282.826019296608,1465.6672345143068,14309.872438123448,1.169293401783721,1129.661365367704,1495.7737425224736,1.3278315484496992,0.10332085232633427,0.1676152339934132,0.00778068121050038,1.0001311823355064,1.0000448995433646
final_joint_baseline_44mer,poly3,35,321.954,10,938.4909574072861,1411.261985345769,13674.262297818128,1.5983105518075122,1296.9987460497064,1462.1660296162308,1.156516152824803,0.059450174579628264,0.11683951006021494,0.005276532063269919,0.9997796135541914,0.9996860705606795
final_joint_baseline_44mer,poly3,36,323.241,10,1277.8917691668437,1490.897598814412,14579.859591517317,1.1738083272716953,1261.2452264712565,1470.8459057274029,1.189300834221381,0.08573317249629898,0.11733259469464485,0.009950208824832971,0.9998520004677885,1.0004094014976925
final_joint_baseline_44mer,poly3,37,324.533,10,1169.414278601645,1486.5185654110105,14404.580038331487,1.2826934196439441,1191.8436867326977,1455.800276034658,1.2585543026301353,0.13525942482777956,0.12468201331565212,0.007767121451946961,1.000216371708129,1.000117208078323
final_joint_baseline_44mer,poly3,38,325.83,10,1199.4975065409942,1348.960351390896,13496.39361139617,1.2505236499620316,1296.9540692143737,1449.0310455638491,1.1565559919239243,0.11270022494591547,0.07896972697038919,0.006040385510807683,0.9997839014897357,0.9996365069730294
final_joint_baseline_44mer,poly3,39,327.132,10,1116.2407663235279,1460.6834425242373,14053.00522069805,1.3437961103503047,1196.4960590380892,1489.578072774071,1.2536606273537663,0.06568308360703629,0.11972303222206007,0.007666196340608653,0.9998743973903818,0.9999761928459359
final_joint_baseline_44mer,poly3,40,328.44,10,1394.7343381975156,1467.2873868080478,14629.887891563465,1.0754736288621993,1150.0985284836636,1456.9739201553102,1.3042360831272957,0.08022437377459468,0.1329105965176092,0.006133447834242909,0.9998160707538106,0.99981924560722
final_joint_baseline_44mer,poly3,41,329.753,10,1317.279467645299,1475.302711000315,14383.99040527165,1.1387105294226765,1338.6060622501475,1447.471241904226,1.1205686589216213,0.13040025843358574,0.12047315975860426,0.005718615099881469,1.00035987234956,0.9998965058758826
final_joint_baseline_44mer,poly3,42,331.071,10,1299.9061539999536,1437.8800180367275,14312.134212355357,1.1539294551259225,1192.9003927217311,1459.5903491586446,1.2574394384912457,0.08254969335819237,0.07257514113738375,0.0049541732271557205,0.9997742807021259,0.9999478908563029
final_joint_baseline_44mer,poly3,43,332.394,10,1220.9376433949117,1488.0811685162223,14452.106880439569,1.228563971399173,975.4402075065544,1442.6144897185113,1.5377672444263282,0.07728688901754985,0.15168997623076147,0.007752062356049243,1.0000294747124507,0.9998873132935344
final_joint_baseline_44mer,poly3,44,333.723,10,1282.595028234047,1446.913014501641,14212.834434633838,1.1695039876033895,1331.478906685064,1478.0201825088502,1.1265668516931275,0.10091563386715754,0.152966009296183,0.00981265368657991,1.0000572903508849,1.000189317932419
final_joint_baseline_44mer,poly3,45,335.057,10,1344.0304063711696,1491.5406960531107,14591.058956480076,1.116046179379187,1329.2751629742984,1457.1863967438544,1.1284345346855793,0.10172055946967082,0.1251750773916282,0.006483098976569789,0.9999583212186265,0.9998098918623329
final_joint_baseline_44mer,poly3,46,336.396,10,1233.1301167951833,1398.4111934795728,13942.067258409032,1.2164166453888843,1081.7265881618932,1379.0399692325923,1.3866720263840895,0.13549516159148464,0.11508767672228558,0.005232293152872604,1.0001644469916042,0.9997765009331259
