baseline,model,seed,temperature_index,temperature,split,target_vs_fit_contact_js,target_vs_remd_contact_js,fit_vs_remd_contact_js,target_vs_fit_rg_js,target_vs_remd_rg_js,fit_vs_remd_rg_js,target_mean_contacts,fit_mean_contacts,remd_mean_contacts,target_mean_rg,fit_mean_rg,remd_mean_rg
final_joint_baseline_44mer,hs,1,56,350.086,train,0.06898339875510273,0.07295130386537602,0.00573309323435086,0.017159255719662855,0.025362329160219434,0.008233549451378452,17.642026124398996,16.706604652194837,16.724,1.4586152219225486,1.4110548500657276,1.3960986229782077
final_joint_baseline_44mer,hs,1,57,351.486,train,0.06723535730682259,0.06622385735984822,0.005873714202694121,0.01923659090296247,0.024436232058608127,0.005604273010181741,17.59089830199014,16.873408744267657,16.859333333333332,1.459674410254965,1.4050391204110946,1.4060347955531547
final_joint_baseline_44mer,hs,1,58,352.891,train,0.06481274896884151,0.06266671108087954,0.006401896730075039,0.01884599215013316,0.022692364806041646,0.007699935261095922,17.764145137240583,17.04066463787472,17.086,1.454219169118449,1.3990369308629211,1.3998550046109948
final_joint_baseline_44mer,hs,1,59,354.301,train,0.06421822948915866,0.07160240419043962,0.005395851454390074,0.020364528385803583,0.030594546076348407,0.009640101269156827,17.849990870914734,17.208303241104524,17.127333333333333,1.4515792398474154,1.3930508385487432,1.3931567793308153
final_joint_baseline_44mer,hs,1,60,355.717,train,0.06270078209426333,0.054262254057093964,0.00990924454580661,0.021326457636040227,0.034543686090163284,0.011605023147867842,17.95618609640314,17.376372446154896,17.629333333333335,1.4478678684382402,1.3870792113102492,1.377039757337978
final_joint_baseline_44mer,hs,1,61,357.139,train,0.061672474251527346,0.060145046286906846,0.006455588710568889,0.023316219690683145,0.030606617663490397,0.009286720333447686,17.985555124459857,17.544799323185508,17.670666666666666,1.4474435804149874,1.381124718167223,1.384257517897177
final_joint_baseline_44mer,hs,1,62,358.567,train,0.0586819391769606,0.05595445794111047,0.0068036841464089535,0.02532233681690524,0.03916086544406239,0.008159033501425998,17.929191771651148,17.713509397584954,17.84466666666667,1.4479398595468786,1.3751900375734978,1.36111236674151
final_joint_baseline_44mer,hs,1,63,360.0,train,0.058008129246278226,0.05436468173832705,0.006718503896663217,0.027190818323866432,0.03014824548255352,0.009014424145620243,18.00590271438135,17.88230923186387,17.346666666666668,1.448537998438865,1.36928195608066,1.3879953850139743
final_joint_baseline_44mer,hs,2,0,280.0,train,0.062090813433788056,0.06822187856705131,0.0038190760631986505,0.016931225796636543,0.023391330584883126,0.008163297778813767,8.984389264195727,9.225096178084602,9.212,1.7330192887155929,1.7145363817574557,1.7259723435266978
final_joint_baseline_44mer,hs,2,1,281.119,train,0.059080395418248915,0.06274990800517347,0.005195429500319475,0.016575632719088657,0.023981306625958543,0.009623749096556194,9.245772472764894,9.32340239600168,9.607333333333333,1.7254357146970922,1.710083653443943,1.7012723203483548
final_joint_baseline_44mer,hs,2,2,282.243,train,0.06321644095505119,0.06279241457592169,0.002636088646849392,0.017449298907112797,0.019254522877216983,0.007947027381777673,9.307776459132127,9.422876169398691,9.353333333333332,1.7239583652442858,1.7055913989849256,1.7174323169365602
final_joint_baseline_44mer,hs,2,3,283.371,train,0.06561963183327768,0.07450251182940115,0.004534375521456963,0.016482937929952615,0.021559622285543485,0.008541868549574413,9.5004241220863,9.523442130784534,9.335333333333333,1.7181079388731155,1.701063464293021,1.7073828650345004
final_joint_baseline_44mer,hs,2,4,284.504,train,0.06583128892832611,0.06715575891001876,0.00465928966944373,0.01570741402589568,0.024393468063765744,0.008624947668184422,9.659105501795388,9.62520255348112,9.562,1.7148231530757665,1.696495695678403,1.7006731631309413
final_joint_baseline_44mer,hs,2,5,285.641,train,0.064248791224271,0.06349052818839973,0.005812306139951869,0.015150103746441695,0.019323487211550475,0.007492659517462582,9.834191086969753,9.72808069720752,9.891333333333334,1.70995073357408,1.6918919973426858,1.6829734670395795
final_joint_baseline_44mer,hs,2,6,286.783,train,0.06774474512679304,0.07931289271180574,0.005071809621948963,0.015446969328101978,0.02181541702187173,0.009155976172576527,10.003320324386829,9.832180056240741,9.979333333333333,1.700945718091396,1.6872482062966678,1.6840449050504784
final_joint_baseline_44mer,hs,2,7,287.929,train,0.06958311316628384,0.08308333635644384,0.003817177781674368,0.015282064259753043,0.015965247992222174,0.008688116400870648,10.215862546406182,9.937422389661705,9.97,1.6943485754338155,1.682568289378287,1.685264236292211
final_joint_baseline_44mer,hs,2,8,289.08,train,0.0744137364642203,0.07888903457186545,0.0033817512949797955,0.015368957027929994,0.02188882302546894,0.010778461461981633,10.399694936400707,10.043912325324627,10.059333333333335,1.6849675212879243,1.6778480791729704,1.6729779259554811
final_joint_baseline_44mer,hs,2,9,290.235,train,0.0737524201610635,0.0851481999996036,0.004653972363931684,0.014998798405816216,0.020486578397421556,0.009075492664776839,10.524419922707079,10.151569976434864,10.104,1.681340394793113,1.6730916099522928,1.6780886463594236
final_joint_baseline_44mer,hs,2,10,291.395,train,0.07167252433492974,0.08218874759420991,0.004555222628675674,0.01558565485469663,0.021218679636976254,0.008134462029120208,10.66035238269125,10.260500996301994,10.405333333333333,1.6777821959555088,1.6682947154089174,1.6641655099173283
final_joint_baseline_44mer,hs,2,11,292.56,train,0.07285258250190091,0.07670098260511296,0.0034023198915331494,0.015693659827359718,0.023254363010824484,0.009078611426333302,10.742928001947536,10.370718647612104,10.488666666666667,1.6731364718597481,1.663457341803712,1.6645703486638241
final_joint_baseline_44mer,hs,2,12,293.729,train,0.07185183005927237,0.07362684127084676,0.004761246975785736,0.01576139101357918,0.022256522459931267,0.008019375968716266,10.807456941147832,10.48214026799837,10.732,1.6738479584546968,1.6585836347593932,1.6403527708972832
