model,temp_index,temperature,x_T,s_opt,s_local_sigma,js_at_opt,obs_mean_rg,pred_mean_lat,production_scalar
hs_quadratic:split_sens_run,39,327.132,0.1097382813,0.4664752956,0.00419199326,0.01239331528,1.543821294,3.284932471,0.4632050331
hs_quadratic:split_sens_run,40,328.44,0.1260882813,0.466526382,0.004065668898,0.01223563682,1.540026444,3.275247972,0.4632050331
hs_quadratic:split_sens_run,41,329.753,0.1425007812,0.4675121398,0.003942940526,0.01363953757,1.53721879,3.26582357,0.4632050331
hs_quadratic:split_sens_run,42,331.071,0.1589757813,0.4675057923,0.004377241737,0.01452873872,1.531412784,3.256670906,0.4632050331
hs_quadratic:split_sens_run,43,332.394,0.1755132813,0.467486579,0.0041386047,0.01500185134,1.52445492,3.247801431,0.4632050331
hs_quadratic:split_sens_run,44,333.723,0.1921257813,0.4736979859,0.003068480069,0.01592264045,1.516123864,3.239220048,0.4632050331
hs_quadratic:split_sens_run,45,335.057,0.2088007813,0.4682348734,0.005360773124,0.01520668418,1.51396796,3.230944603,0.4632050331
hs_quadratic:split_sens_run,46,336.396,0.2255382813,0.4741767237,0.002883820515,0.014954345,1.510717638,3.222985861,0.4632050331
hs_quadratic:split_sens_run,47,337.741,0.2423507812,0.4672094714,0.003731441385,0.01618027649,1.503180782,3.215348775,0.4632050331
hs_quadratic:split_sens_run,48,339.091,0.2592257813,0.4742439433,0.002829638071,0.01541275379,1.499723677,3.208049645,0.4632050331
hs_quadratic:split_sens_run,49,340.446,0.2761632813,0.4682675473,0.004249766798,0.01501098573,1.49532839,3.201098397,0.4632050331
hs_quadratic:split_sens_run,50,341.807,0.2931757813,0.4674679398,0.003133438145,0.01676642365,1.490338793,3.194499944,0.4632050331
hs_quadratic:split_sens_run,51,343.173,0.3102507813,0.4663232741,0.003552306571,0.01586954232,1.479211572,3.188268867,0.4632050331
hs_quadratic:split_sens_run,52,344.545,0.3274007813,0.4672369416,0.004150480462,0.01610504675,1.470779422,3.182410027,0.4632050331
hs_quadratic:split_sens_run,53,345.922,0.3446132813,0.4606977817,0.003963685236,0.01615253805,1.467424942,3.176936796,0.4632050331
hs_quadratic:split_sens_run,54,347.305,0.3619007813,0.4667146451,0.00445991504,0.01646836899,1.470738831,3.171853974,0.4632050331
hs_quadratic:split_sens_run,55,348.693,0.3792507812,0.4603357601,0.003203242296,0.01661611256,1.465347922,3.167173679,0.4632050331
hs_quadratic:split_sens_run,56,350.086,0.3966632813,0.4598699212,0.003541061378,0.01601143956,1.458615222,3.16290356,0.4632050331
hs_quadratic:split_sens_run,57,351.486,0.4141632812,0.4602048579,0.00416455424,0.01604144212,1.45967441,3.159045715,0.4632050331
hs_quadratic:split_sens_run,58,352.891,0.4317257813,0.4599192497,0.003019184732,0.01587659425,1.454219169,3.155613552,0.4632050331
hs_quadratic:split_sens_run,59,354.301,0.4493507812,0.4602801759,0.003778200117,0.01677824259,1.45157924,3.152613682,0.4632050331
hs_quadratic:split_sens_run,60,355.717,0.4670507812,0.4600745443,0.003357373011,0.01597465176,1.447867868,3.150050712,0.4632050331
hs_quadratic:split_sens_run,61,357.139,0.4848257813,0.4598281174,0.00317896271,0.01634116215,1.44744358,3.147931503,0.4632050331
hs_quadratic:split_sens_run,62,358.567,0.5026757813,0.4607364588,0.003280199301,0.01642556606,1.44793986,3.146262564,0.4632050331
hs_quadratic:split_sens_run,63,360,0.5205882813,0.4601757389,0.004556768948,0.01665043212,1.448537998,3.145050732,0.4632050331
