replicate,h1,s1,h2,s2,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope,collapse_detected
38,443.73865819076553,-2.8385998938929116,-280.6696285473023,10.0,0.0065109493864577515,0.006182876074390704,0.006384767343355043,0.08069045412226747,0.07863126651905528,0.07990473917956958,,312.6,True
39,837.3589638628357,-3.1063966346004515,-1382.972984825001,10.0,0.005732024655840628,0.004052879313923934,0.005086199524334207,0.07571013575367982,0.06366222831415763,0.0713175961760785,,310.92,True
40,1140.7851462762467,-2.999282011382331,-2000.0,10.0,0.006107183859102666,0.004923079926043283,0.005651759269464442,0.07814847317192235,0.07016466294398686,0.07517818346744248,,314.4,True
41,112.5991772041718,-3.111798425438641,284.75929116729645,10.0,0.00613412848828122,0.004261243849781987,0.005413788242704592,0.07832067727159425,0.06527820348157558,0.07357844958073384,,311.28,True
42,633.2070119715413,-3.035018067045764,-859.1415894968982,10.0,0.005709282018189378,0.004444662146802751,0.005222889759963753,0.07555979101472805,0.06666829941435998,0.07226956316433464,,312.0,True
43,1144.366912727574,-2.9756803923410295,-1999.999999999992,10.0,0.0058883358297201465,0.004942511522381422,0.005524557249974484,0.07673549263359261,0.070302997961548,0.07432736541795683,,310.2,True
44,783.2001055596379,-3.285628460294786,-1393.0169907113648,10.0,0.008767953172239464,0.005344248178443797,0.007451143559241131,0.09363734923757434,0.07310436497531318,0.0863200067147885,,304.8,True
45,352.34227611755335,-2.98888730033346,-181.68945749053714,10.0,0.005936616202964636,0.004864879141939751,0.005524409641031987,0.07704943999124611,0.06974868559291816,0.07432637244633958,,310.56,True
46,848.4011982127754,-3.0663370468217854,-1376.0822538895595,10.0,0.005792473342860734,0.004307219924442289,0.005221222028084411,0.07610830009178193,0.06562941356162105,0.07225802397024438,,312.96,True
47,1089.716456254055,-3.1620093503463123,-2000.0,10.0,0.006320572217155926,0.004093937816872123,0.0054641743708929245,0.07950202649716501,0.06398388716600549,0.07392005391565218,,313.68,True
48,380.3879681974215,-3.053802371108056,-282.9625811401275,10.0,0.006557840152858338,0.00484330204149843,0.005898402417719912,0.0809804924216835,0.06959383623208618,0.07680105739975142,,315.6,True
49,1244.362150069585,-2.6464465195495226,-2000.0,9.978387765857676,0.007649867223024203,0.008142848355936816,0.007839475351067517,0.08746351938393632,0.09023773244013181,0.08854081178229346,,311.28,True
50,122.87942983883372,-3.0009954271154182,346.4202086920988,10.0,0.006460884343612671,0.0050801254278633485,0.005929823222170624,0.0803796264212062,0.07127499861707012,0.07700534541296873,,314.76,True
51,192.55436754579176,-2.8869918332904185,285.49421574714,10.0,0.01179842911823983,0.008919172581882944,0.010691022758102567,0.10862057410196206,0.09444137113512777,0.1033974020858482,,322.44,True
52,1114.7612712405776,-3.065128997111106,-1999.9999999988863,9.966677960708711,0.005808431014224548,0.004242210839517286,0.005206038639337139,0.07621306327805324,0.06513225652099953,0.07215288379085856,,313.08,True
53,2000.0,5.6340533528813035,-1741.843350203331,-2.7998101941779545,0.014098156382081794,0.014486833536552803,0.014247647595339873,0.11873565758474491,0.12036126260783743,0.1193635103176003,354.98421380358116,318.36,True
54,396.8521904721299,-2.99327722981144,-280.70328913188996,10.0,0.006077440907584794,0.004911879368316741,0.005629148007866311,0.077957943197501,0.0700848012647303,0.0750276482895893,,313.92,True
55,649.0863786239312,-3.1072703194709703,-950.8181553551124,10.0,0.005824977282572712,0.004120515507129082,0.005169415061248238,0.07632153878540915,0.06419124166994343,0.0718986443630771,,309.96,True
56,134.15018895479523,-3.0455732748285476,282.3651984286144,10.0,0.006000457407229285,0.004553881740090579,0.005444082150637476,0.07746261941884798,0.0674824550538181,0.07378402368153607,,311.52,True
57,237.7954282783451,-3.088983268876862,17.546533297916746,10.0,0.00622562041756712,0.0044195490591590215,0.005530977587410158,0.07890260082891513,0.06647968907237023,0.07437054247086113,,314.03999999999996,True
58,129.89115625649126,-3.0117719449957026,315.50465547607445,10.0,0.006058234054950773,0.004793983642498926,0.005571983896315447,0.07783465844307903,0.06923859936840812,0.07464572255873371,,311.15999999999997,True
59,113.00049399971839,-3.082204216153793,301.14251532265314,10.0,0.006302310971872154,0.0045841265818615945,0.005641470821868093,0.07938709575159023,0.06770617831381118,0.07510972521496861,,309.36,True
60,1083.6175278150854,-3.0633880745841875,-1917.400189707078,9.999997616497668,0.005723988582729218,0.004288695070091044,0.005171952616329921,0.07565704582343417,0.06548812923035016,0.07191628894993067,,312.6,True
61,1188.2699027792328,-1.1551320502935742,-802.27114959708,10.0,0.015519785660955604,0.020120838048199897,0.017289421194511104,0.1245784317647144,0.1418479398799993,0.1314892436456728,,310.08,True
62,361.27689590042155,-3.154970804173528,-317.8380521101206,10.0,0.0061109456220615945,0.0039952278802509135,0.005297208029057486,0.07817253751837402,0.06320781502512893,0.07278192103165103,,311.76,True
63,834.6382022960049,-2.637156359914688,-1376.8248067522077,8.921705098904805,0.0057977277486852595,0.004116543883107114,0.005151118569616742,0.07614281153651511,0.06416029834022839,0.07177129349271018,,310.08,True
64,817.6845622135927,-2.9786087359338365,-1244.8983925008354,10.0,0.005783407164860263,0.004848823430434562,0.00542395188238884,0.07604871573445711,0.06963349359636181,0.07364748388362524,,311.76,True
