rg_weight,temp_index,temperature,in_validation,contact_loss,rg_loss,b_T,pred_mean_contacts,pred_mean_rg
0.1,53,345.922,0,0.06330098394,0.01762259818,-0.3391347182,15.30793155,1.462282994
0.1,54,347.305,1,0.06581992018,0.01862421065,-0.3431054628,15.44991719,1.456808468
0.1,55,348.693,0,0.06696446374,0.01905173584,-0.3470588941,15.59272529,1.451317718
0.1,56,350.086,0,0.06957967951,0.01903388287,-0.3509950486,15.73632169,1.445812093
0.1,57,351.486,1,0.06772875918,0.01942920166,-0.3549195479,15.88087734,1.440285089
0.1,58,352.891,0,0.06730504787,0.01979586359,-0.3588267575,16.02614885,1.434746051
0.1,59,354.301,0,0.06798811631,0.0213447305,-0.3627167176,16.17209733,1.429196452
0.1,60,355.717,1,0.06801127989,0.02110258609,-0.3665921954,16.31878607,1.423633876
0.1,61,357.139,0,0.06745834709,0.02219981383,-0.3704531677,16.46617342,1.418059895
0.1,62,358.567,0,0.06485040715,0.02333133345,-0.3742996134,16.61421622,1.412476119
0.1,63,360,1,0.06665547799,0.02480167461,-0.3781288515,16.76276616,1.406888087
0.25,0,280,1,0.04316720722,0.01126205098,-0.1063322515,9.381713184,1.707796272
0.25,1,281.119,0,0.04057255983,0.01119860683,-0.1111457071,9.465572904,1.704041896
0.25,2,282.243,0,0.04322239085,0.01189916457,-0.1159422468,9.550332608,1.700256849
0.25,3,283.371,1,0.04458944416,0.0111320729,-0.1207176015,9.635927477,1.696444255
0.25,4,284.504,0,0.04447411218,0.01084977269,-0.1254760047,9.722443957,1.692600498
0.25,5,285.641,0,0.04309740777,0.01021575419,-0.1302132586,9.809816202,1.68872874
0.25,6,286.783,1,0.04537049837,0.01039807223,-0.1349335332,9.898131512,1.68482535
0.25,7,287.929,0,0.04646922464,0.01040999875,-0.1396327007,9.987322924,1.680893527
0.25,8,289.08,0,0.04966904896,0.01030012256,-0.1443148686,10.07747853,1.676929631
0.25,9,290.235,1,0.04905871128,0.01014784195,-0.1489759777,10.16853016,1.672936903
0.25,10,291.395,0,0.04754157947,0.0106070373,-0.153620074,10.26056662,1.668911694
0.25,11,292.56,0,0.0484003509,0.01060407736,-0.158247122,10.35359853,1.664853801
0.25,12,293.729,1,0.04790010733,0.01053324586,-0.1628531635,10.44755566,1.660766537
0.25,13,294.903,0,0.04726933877,0.01105621018,-0.1674421544,10.5425278,1.656646246
0.25,14,296.082,0,0.04996974754,0.01254513313,-0.1720140649,10.63852492,1.652492761
0.25,15,297.266,1,0.04972402395,0.01234902036,-0.1765688676,10.7355567,1.648305932
0.25,16,298.454,0,0.04998371174,0.01041173229,-0.181102736,10.83354981,1.644089176
0.25,17,299.647,0,0.05020630886,0.01103571071,-0.1856195085,10.932595,1.639838842
0.25,18,300.845,1,0.05321638313,0.01067080412,-0.1901191634,11.03270098,1.635554828
0.25,19,302.047,0,0.05452560819,0.01123742565,-0.1945979694,11.13379169,1.631240642
0.25,20,303.254,0,0.05627274473,0.01143733216,-0.1990596792,11.23595833,1.626892648
0.25,21,304.467,1,0.05557163791,0.01052860554,-0.2035079288,11.3392938,1.622507179
0.25,22,305.683,0,0.05774552462,0.01089106635,-0.207931746,11.44354866,1.618095075
0.25,23,306.905,0,0.05649608133,0.0101468533,-0.2123420759,11.54898569,1.613645469
0.25,24,308.132,1,0.05282404092,0.01088700745,-0.216735255,11.6555253,1.609162004
0.25,25,309.364,0,0.05374552713,0.01072134033,-0.2211112744,11.76317272,1.604644727
0.25,26,310.6,0,0.05021359382,0.01167234576,-0.2254666174,11.87184435,1.600097398
0.25,27,311.842,1,0.05123293549,0.01139855648,-0.2298083258,11.98171993,1.595512757
0.25,28,313.088,0,0.05482143588,0.01211924478,-0.234129404,12.09262573,1.590898318
0.25,29,314.34,0,0.05318821665,0.01153503771,-0.2384367858,12.20474217,1.586246833
0.25,30,315.596,1,0.05466954803,0.01180979938,-0.2427235897,12.31789177,1.581565921
0.25,31,316.858,0,0.05475479889,0.01148686694,-0.2469966429,12.43225545,1.576848351
0.25,32,318.124,0,0.05610363841,0.01111883245,-0.2512491761,12.54765185,1.572101854
0.25,33,319.396,1,0.05904763365,0.01120328596,-0.2554879116,12.6642622,1.567319221
0.25,34,320.672,0,0.06065512064,0.0108787316,-0.2597061903,12.78190111,1.562508297
0.25,35,321.954,0,0.05891306692,0.01100137781,-0.2639106314,12.90074992,1.557661902
0.25,36,323.241,1,0.06135612645,0.01079254612,-0.2680979248,13.02071257,1.5527842
0.25,37,324.533,0,0.05827724061,0.01054164436,-0.272268081,13.14178385,1.547875627
0.25,38,325.83,0,0.06086966278,0.0106110494,-0.2764211119,13.26395741,1.542936661
0.25,39,327.132,1,0.06236688997,0.01206084377,-0.2805570306,13.38722574,1.537967817
0.25,40,328.44,0,0.06028285524,0.01201272735,-0.2846789908,13.51167548,1.532965823
0.25,41,329.753,0,0.06344462485,0.01346280788,-0.2887838195,13.6372022,1.527935093
0.25,42,331.071,1,0.06078226309,0.0142098223,-0.2928715347,13.76379461,1.522876266
0.25,43,332.394,0,0.06391214419,0.01448749592,-0.2969421554,13.89144012,1.517790028
0.25,44,333.723,0,0.06355820836,0.01544430984,-0.3009987423,14.02022193,1.512673252
0.25,45,335.057,1,0.06318878453,0.01508977398,-0.3050382283,14.15002843,1.507530552
0.25,46,336.396,0,0.06430626973,0.01557340957,-0.3090606368,14.28084289,1.502362743
0.25,47,337.741,0,0.06518636496,0.01633428531,-0.3130689605,14.41274544,1.497166821
0.25,48,339.091,1,0.06327753802,0.01655913917,-0.3170602096,14.54561896,1.491947547
