offset,temp_index,temperature,mass_below,mass_inside_positive,mass_internal_gap,mass_above,total_unsupported,geometric_support,positive_support,mass_negative,target_mean_shifted,target_std_shifted,rg_mass_below,rg_mass_inside,rg_mass_internal_gap,rg_mass_above,rg_total_unsupported
44,8,289.08,0.002828875297,0.9872554166,0.007554318057,0.002361390055,0.01274458341,0.9948097346,0.9872554166,0.002828875297,9.399694936,6.676256808,0,1,8.871872162e-05,0,8.871872162e-05
44,9,290.235,0.004664962571,0.9855125221,0.007979961658,0.001842553709,0.01448747794,0.9934924837,0.9855125221,0.004664962571,9.524419923,6.743362943,0,1,9.129085266e-05,0,9.129085266e-05
44,10,291.395,0.003256801169,0.9848837563,0.009329925142,0.002529517376,0.01511624369,0.9942136815,0.9848837563,0.003256801169,9.660352383,6.768647163,0,1,0.0002264091889,0,0.0002264091889
44,11,292.56,0.004264804333,0.9851823535,0.009005842615,0.001546999574,0.01481764652,0.9941881961,0.9851823535,0.004264804333,9.742928002,6.800130897,0,1,8.947290994e-05,0,8.947290994e-05
44,12,293.729,0.004229809506,0.9840632798,0.009444038707,0.00226287201,0.01593672022,0.9935073185,0.9840632798,0.004229809506,9.807456941,6.819726365,0,1,0.0001330780824,0,0.0001330780824
44,13,294.903,0.004254153734,0.9827874901,0.01049844806,0.002459908101,0.01721250989,0.9932859382,0.9827874901,0.004254153734,9.913218155,6.872838268,0,1,0.0002700143614,0,0.0002700143614
44,14,296.082,0.003667990384,0.982242788,0.01000547745,0.004083744142,0.01775721198,0.9922482655,0.982242788,0.003667990384,10.13718124,6.99709674,0,1,0.000766969789,0,0.000766969789
44,15,297.266,0.003804546284,0.979618176,0.01198420668,0.004593071024,0.02038182399,0.9916023827,0.979618176,0.003804546284,10.28130401,7.074781833,0,1,0.0008582606416,0,0.0008582606416
44,16,298.454,0.003878720102,0.9796090469,0.01192144422,0.004590788753,0.02039095308,0.9915304911,0.9796090469,0.003878720102,10.4622364,7.142156529,0,1,0.0005831020181,0,0.0005831020181
44,17,299.647,0.003580122938,0.9773286775,0.01424821983,0.004842979733,0.0226713225,0.9915768973,0.9773286775,0.003580122938,10.60946458,7.205681198,0,1,0.0003182319188,0,0.0003182319188
44,18,300.845,0.003889370702,0.976642855,0.01507896659,0.004388807741,0.02335714503,0.9917218216,0.976642855,0.003889370702,10.84358225,7.331411717,0,1,0.0006821092639,0,0.0006821092639
44,19,302.047,0.003819000669,0.9742879313,0.01681235165,0.005080716329,0.02571206865,0.991100283,0.9742879313,0.003819000669,11.03045767,7.415025109,0,1,0.0005882462802,0,0.0005882462802
44,20,303.254,0.00386084231,0.9728622725,0.01881846814,0.004458417017,0.02713772747,0.9916807407,0.9728622725,0.00386084231,11.26913418,7.495021754,0,1,0.0004500239357,0,0.0004500239357
44,21,304.467,0.0033378218,0.9733811089,0.01670622604,0.006574843284,0.02661889112,0.9900873349,0.9733811089,0.0033378218,11.37867027,7.529680871,0,1,0.0004951374848,0,0.0004951374848
44,22,305.683,0.004159439474,0.9702395624,0.01889150082,0.006709497292,0.02976043759,0.9891310632,0.9702395624,0.004159439474,11.57566604,7.635572302,0,1,0.0004969554275,0,0.0004969554275
44,23,306.905,0.002835722111,0.9701239273,0.01897366259,0.008066687968,0.02987607267,0.9890975899,0.9701239273,0.002835722111,11.58901771,7.634568666,0,1,0.0002256550006,0,0.0002256550006
44,24,308.132,0.002253362546,0.9676275029,0.02152866533,0.008590469235,0.03237249711,0.9891561682,0.9676275029,0.002253362546,11.6806258,7.603782944,0,1,0.0004513100012,0,0.0004513100012
44,25,309.364,0.002376224819,0.9663676891,0.02007828191,0.01117780415,0.03363231088,0.986445971,0.9663676891,0.002376224819,11.83944221,7.734279196,0,1,0.0001338322707,0,0.0001338322707
44,26,310.6,0.00165312519,0.9694837502,0.0186701205,0.01019300408,0.03051624977,0.9881538707,0.9694837502,0.00165312519,11.76016562,7.642785073,0,1,0.0006707569853,0,0.0006707569853
44,27,311.842,0.002509357312,0.9676780932,0.02011936279,0.009693186659,0.03232190676,0.987797456,0.9676780932,0.002509357312,11.94496911,7.659205561,0,1,0.0002233051807,0,0.0002233051807
44,28,313.088,0.00180033169,0.9640260788,0.02190752237,0.01226606719,0.03597392125,0.9859336011,0.9640260788,0.00180033169,12.29451342,7.823136992,0,1,0.0003638773451,0,0.0003638773451
44,29,314.34,0.002766112835,0.9602782089,0.02281814862,0.01413752967,0.03972179113,0.9830963575,0.9602782089,0.002766112835,12.48962746,7.826427693,0,1,0.001173388552,0,0.001173388552
44,30,315.596,0.003173117887,0.9575961597,0.02468732883,0.01454339359,0.0424038403,0.9822834885,0.9575961597,0.003173117887,12.67276528,7.874912808,0,1,0.0007187522316,0,0.0007187522316
44,31,316.858,0.001983293774,0.9560160672,0.02459147343,0.0174091656,0.04398393281,0.9806075406,0.9560160672,0.001983293774,12.82906092,7.933302338,0,1,0.0003556290748,0,0.0003556290748
44,32,318.124,0.001860051123,0.9554458797,0.02563561256,0.01705845658,0.04455412026,0.9810814923,0.9554458797,0.001860051123,13.07046361,7.976285166,0,1,0.0002217968041,0,0.0002217968041
44,33,319.396,0.002242711947,0.948777083,0.02845992332,0.02052028178,0.05122291705,0.9772370063,0.948777083,0.002242711947,13.0994728,8.153841928,0,1,0.000313841845,0,0.000313841845
44,34,320.672,0.002439367659,0.9480547441,0.02898826913,0.02051761913,0.05194525592,0.9770430132,0.9480547441,0.002439367659,13.24691703,8.192300263,0,1,0.0003594872714,0,0.0003594872714
44,35,321.954,0.002172341915,0.9458998996,0.02866875114,0.02325900736,0.05410010042,0.9745686507,0.9458998996,0.002172341915,13.38153528,8.241808699,0,1,0.0009420574123,0,0.0009420574123
44,36,323.241,0.001733765443,0.9468333485,0.02912292313,0.02230996288,0.05316665145,0.9759562717,0.9468333485,0.001733765443,13.5871219,8.239860614,0,1,0.0008076932643,0,0.0008076932643
44,37,324.533,0.001674046011,0.9445845505,0.02990345992,0.02383794352,0.05541544946,0.9744880105,0.9445845505,0.001674046011,13.56646811,8.206063656,0,1,0.0009374450274,0,0.0009374450274
44,38,325.83,0.002039209421,0.9375205404,0.03369317144,0.02674707869,0.06247945956,0.9712137119,0.9375205404,0.002039209421,13.80466496,8.336916809,0,1,0.0008064071988,0,0.0008064071988
44,39,327.132,0.002046436614,0.9368936766,0.03262849188,0.02843139492,0.06310632341,0.9695221685,0.9368936766,0.002046436614,13.92632904,8.411982795,0,1,0.00183771521,0,0.00183771521
44,40,328.44,0.001723495222,0.9346973708,0.03442235713,0.02915677682,0.06530262918,0.969119728,0.9346973708,0.001723495222,14.05278513,8.376984853,0,1,0.002329748687,0,0.002329748687
44,41,329.753,0.001786638062,0.9322416469,0.03467454811,0.03129716694,0.06775835311,0.966916195,0.9322416469,0.001786638062,14.26595992,8.500750596,0,1,0.002955169812,0,0.002955169812
44,42,331.071,0.001386479825,0.9316208691,0.0353398302,0.03165282089,0.06837913091,0.9669606993,0.9316208691,0.001386479825,14.46511396,8.448258273,0,1,0.002551323179,0,0.002551323179
44,43,332.394,0.001123257866,0.924389112,0.04078304729,0.0337045828,0.07561088796,0.9651721593,0.924389112,0.001123257866,14.65085737,8.585840931,0,1,0.002020074604,0,0.002020074604
44,44,333.723,0.00171626803,0.9239102154,0.04088803177,0.03348548475,0.07608978455,0.9647982472,0.9239102154,0.00171626803,14.79094471,8.563397097,0,1,0.001704946694,0,0.001704946694
44,45,335.057,0.00113010468,0.9226561074,0.04031860508,0.03589518289,0.07734389264,0.9629747124,0.9226561074,0.00113010468,14.88181106,8.54875731,0,1,0.00157027298,0,0.00157027298
44,46,336.396,0.001330183799,0.9224552675,0.03847909439,0.03773545432,0.07754473252,0.9609343619,0.9224552675,0.001330183799,14.95942996,8.588729702,0,1,0.00228410326,0,0.00228410326
44,47,337.741,0.000779015276,0.9173597164,0.04409005843,0.03777120991,0.08264028361,0.9614497748,0.9173597164,0.000779015276,15.19126879,8.631271767,0,1,0.00291178695,0,0.00291178695
44,48,339.091,0.000912528148,0.9184068985,0.04379336316,0.03688721015,0.08159310145,0.9622002617,0.9184068985,0.000912528148,15.29346586,8.56974256,0,1,0.004164272633,0,0.004164272633
44,49,340.446,0.00052302051,0.9135000152,0.04620001826,0.03977694602,0.08649998478,0.9597000335,0.9135000152,0.00052302051,15.48523066,8.563613791,0,1,0.004332842674,0,0.004332842674
44,50,341.807,0.001214548719,0.9071811667,0.04522548841,0.04637879618,0.0928188333,0.9524066551,0.9071811667,0.001214548719,15.6913559,8.717177612,0,1,0.004996724709,0,0.004996724709
44,51,343.173,0.001281114966,0.9078643266,0.04600830747,0.04484625099,0.09213567342,0.953872634,0.9078643266,0.001281114966,15.85042336,8.608321249,0,1,0.004836537995,0,0.004836537995
44,52,344.545,0.001112607267,0.9041598199,0.04960516706,0.04512240582,0.09584018015,0.9537649869,0.9041598199,0.001112607267,16.10830252,8.659076022,0,1,0.003989851943,0,0.003989851943
44,53,345.922,0.0007405970422,0.9052537886,0.04576524557,0.04824036882,0.09474621143,0.9510190341,0.9052537886,0.0007405970422,16.15169268,8.570412316,0,1,0.004254055109,0,0.004254055109
44,54,347.305,0.001168903293,0.8990513359,0.04782727771,0.05195248311,0.1009486641,0.9468786136,0.8990513359,0.001168903293,16.19845148,8.714862343,0,1,0.004198033904,0,0.004198033904
44,55,348.693,0.000526443917,0.8973833759,0.04979916012,0.05229102002,0.1026166241,0.9471825361,0.8973833759,0.000526443917,16.36596829,8.669867562,0,1,0.004246870593,0,0.004246870593
44,56,350.086,0.0009231787475,0.8859221898,0.05467523279,0.0584793987,0.1140778102,0.9405974226,0.8859221898,0.0009231787475,16.64202612,8.757768753,0,1,0.003795735102,0,0.003795735102
44,57,351.486,0.0009440995679,0.891349431,0.04891706226,0.05878940722,0.108650569,0.9402664932,0.891349431,0.0009440995679,16.5908983,8.757365641,0,1,0.002816725156,0,0.002816725156
44,58,352.891,0.001446199258,0.8900314193,0.05011297243,0.05840940904,0.1099685807,0.9401443917,0.8900314193,0.001446199258,16.76414514,8.715348554,0,1,0.003137306895,0,0.003137306895
44,59,354.301,0.001031967014,0.8885502252,0.05121074493,0.05920706287,0.1114497748,0.9397609701,0.8885502252,0.001031967014,16.84999087,8.70353022,0,1,0.004259373881,0,0.004259373881
44,60,355.717,0.0005089465036,0.8875076076,0.05294641227,0.05903703366,0.1124923924,0.9404540198,0.8875076076,0.0005089465036,16.9561861,8.673840029,0,1,0.002871373041,0,0.002871373041
44,61,357.139,0.0005580153369,0.8872143357,0.05460105897,0.05762658998,0.1127856643,0.9418153947,0.8872143357,0.0005580153369,16.98555512,8.649268518,0,1,0.003317316469,0,0.003317316469
44,62,358.567,0.0007090256223,0.8893208721,0.05735461932,0.05261548293,0.1106791279,0.9466754914,0.8893208721,0.0007090256223,16.92919177,8.589782254,0,1,0.002827767868,0,0.002827767868
44,63,360,0.0002035025257,0.8888412148,0.05643714625,0.05451813645,0.1111587852,0.945278361,0.8888412148,0.0002035025257,17.00590271,8.545623414,0,1,0.003307472567,0,0.003307472567
