temperature,K_best_contact_grid,K_best_rg_grid,K_best_combined_grid,K_best_combined_quadratic,JS_contact_min,JS_contact_overlap_at_contact_min,JS_rg_min,JS_contact_at_combined,JS_contact_overlap_at_combined,JS_rg_at_combined,combined_score_best,second_best_score_gap,contact_rg_K_difference,contact_rg_disagreement_raw,contact_rg_disagreement_resolved,K_old,K_difference_from_old,old_mapping_comparison_resolved,contact_boundary_hit_low,contact_boundary_hit_high,rg_boundary_hit_low,rg_boundary_hit_high,combined_boundary_hit_low,combined_boundary_hit_high,n_direct_seeds_at_best_K
331.071,-0.08,0.2,0.0,0.01097697567534428,0.04358726072245792,0.03098798014762008,0.03544901808021623,0.047905295172386286,0.03541276097408587,0.04178906682700742,0.04484718099969685,0.0014430092007906292,0.28,True,True,-0.08192524188342021,0.08192524188342021,True,False,False,False,False,False,False,2
332.394,-0.08,0.2,0.0,0.022788709263983645,0.044052294002675164,0.03137087604608728,0.034385185384219225,0.047862754831004176,0.03527888522174013,0.041811859269720204,0.04483730705036219,0.0007960024554346523,0.28,True,True,-0.07413833280862381,0.07413833280862381,True,False,False,False,False,False,False,2
333.723,-0.08,0.2,0.0,0.032296601332764116,0.04464048062495442,0.0325811181784689,0.03382635103002882,0.04799374476928628,0.03602127094551061,0.04248018713373089,0.045236965951508584,0.0003607309175837764,0.28,True,True,-0.0663782699002875,0.0663782699002875,True,False,False,False,False,False,False,2
335.057,-0.08,0.2,0.08,0.04110813355689911,0.04423214044599955,0.03271286411039966,0.03302388687802697,0.05334579240991081,0.04204121329852596,0.03502362477641065,0.04418470859316073,0.00010807874358316483,0.28,True,True,-0.05865092012670803,0.13865092012670804,True,False,False,False,False,False,False,2
336.396,-0.08,0.2,0.08,0.045439270104842194,0.044455508177191086,0.03319670757593806,0.032880085714975846,0.05271211010771672,0.041657012270815544,0.035673461481964666,0.04419278579484069,0.0005253530040631865,0.28,True,True,-0.05095623887463585,0.13095623887463587,True,False,False,False,False,False,False,2
337.741,-0.08,0.2,0.08,0.048836862061163645,0.04560530475879855,0.03435968007812708,0.03206955071506683,0.05360039287682395,0.04255604688146522,0.03501807048057459,0.04430923167869927,0.0008445798622198214,0.28,True,True,-0.04328850110110949,0.12328850110110949,True,False,False,False,False,False,False,2
339.091,-0.08,0.2,0.08,0.05647596235154302,0.04484624355158286,0.0341191861039366,0.031228585777652428,0.050484377486195955,0.039917029220384884,0.03485350820824807,0.042668942847222016,0.0015578631605542709,0.28,True,True,-0.03565342629832191,0.11565342629832191,True,False,False,False,False,False,False,2
340.446,0.0,0.2,0.08,0.06379178882517049,0.045891538626158156,0.03535175859505316,0.02992961855007322,0.04973479993336482,0.03929518523787591,0.034060641971029745,0.04189772095219728,0.0023714204582789278,0.2,True,True,-0.028050962302613502,0.1080509623026135,True,False,False,False,False,False,False,2
341.807,0.0,0.2,0.08,0.0659712984477242,0.0469579879780277,0.036858734383100764,0.03025144111485966,0.05073079559101888,0.04073029396012253,0.035159828943002264,0.04294531226701057,0.0024983705421340943,0.2,True,True,-0.020475510968374078,0.10047551096837408,True,False,False,False,False,False,False,2
343.173,0.0,0.2,0.08,0.06943228779184565,0.04623654324564479,0.03655330183311884,0.029422883457000962,0.04951062249271902,0.039912523478994225,0.03438169593737249,0.041946159215045756,0.0027330187591560057,0.2,True,True,-0.012932648115310252,0.09293264811531025,True,False,False,False,False,False,False,2
344.545,0.0,0.2,0.08,0.07688934610959872,0.04627880930613243,0.036892319451217265,0.028628763470095145,0.04869074924073576,0.03937806575197557,0.034301436746008857,0.04149609299337231,0.002350953568735603,0.2,True,True,-0.005416858338166852,0.08541685833816685,True,False,False,False,False,False,False,2
345.922,0.0,0.2,0.08,0.08148971867489196,0.04656826665024162,0.03782135653599737,0.02886503473038055,0.048518327636063646,0.039835857876993584,0.03526423456631472,0.041891281101189184,0.0019416277215043437,0.2,True,True,0.002066376613256926,0.07793362338674308,True,False,False,False,False,False,False,2
347.305,0.0,0.2,0.08,0.08318190901374374,0.046016154371677415,0.037261299288293394,0.028968321602147913,0.04765073035352232,0.03895790294894214,0.0353910021852183,0.04152086626937031,0.0018545768733392726,0.2,True,True,0.00952249056997645,0.07047750943002355,True,False,False,False,False,False,False,2
348.693,0.0,0.2,0.08,0.08942762813466418,0.047221359705106485,0.03849285186819471,0.028360592510739767,0.048146463923743235,0.039472024945608905,0.035572050831993496,0.041859257377868365,0.0014011299181780276,0.2,True,True,0.016946094230120723,0.06305390576987928,True,False,False,False,False,False,False,2
350.086,0.0,0.2,0.08,0.09375009553275754,0.048375171046576695,0.0394888171267472,0.02824090884688288,0.04901331266334563,0.040179391045178064,0.035779371019582173,0.0423963418414639,0.0011074385406979817,0.2,True,True,0.024337256202032087,0.055662743797967915,True,False,False,False,False,False,False,2
351.486,0.0,0.2,0.08,0.09163763249491316,0.04627988130763774,0.037612575919106904,0.028449642543794694,0.04718003589249889,0.03856572181636398,0.03543230355346749,0.04130616972298319,0.0012377393585695645,0.2,True,True,0.03170653244237909,0.048293467557620914,True,False,False,False,False,False,False,2
352.891,0.0,0.2,0.08,0.09378870177328852,0.047211948863981765,0.03903726480713784,0.028408327628642503,0.04771048703397161,0.03958288573444696,0.0360894253115672,0.041899956172769405,0.0011728623280730308,0.2,True,True,0.03904334267726539,0.04095665732273461,True,False,False,False,False,False,False,2
354.301,0.08,0.2,0.08,0.1040169217904127,0.046811787470890195,0.03913446581686322,0.02751977943171073,0.046811787470890195,0.03913446581686322,0.036486971242010384,0.041649379356450286,0.0004051788592088629,0.12000000000000001,True,True,0.04634776252617612,0.033652237473823884,True,False,False,False,False,False,False,2
355.717,0.08,0.2,0.08,0.10798599021643417,0.04920541490017809,0.04124436504697891,0.027800290242753087,0.04920541490017809,0.04124436504697891,0.03747722130695368,0.04334131810356588,0.00012760498605356163,0.12000000000000001,True,True,0.0536249879834545,0.026375012016545504,True,False,False,False,False,False,False,2
357.139,0.08,0.2,0.14,0.12235616997025785,0.04877801360708185,0.041570772112818524,0.027345681520293097,0.05282985222979962,0.04567562425474345,0.03290033967871761,0.042865095954258615,0.00034780002011390587,0.12000000000000001,True,True,0.06087497573744183,0.07912502426255819,True,False,False,False,False,False,False,2
358.567,0.08,0.2,0.08,0.10944117974711143,0.04794023073792378,0.04086821964242117,0.027651755087213507,0.04794023073792378,0.04086821964242117,0.03774949367716891,0.042844862207546346,3.568741199310582e-05,0.12000000000000001,True,True,0.0680976858967437,0.011902314103256303,True,False,False,False,False,False,False,2
360.0,0.08,0.2,0.14,0.14942167509437632,0.04867812327599638,0.04104869862101062,0.02691151428131136,0.05189954228044777,0.04431616747801319,0.03317802905131256,0.042538785665880166,0.0005043990817801824,0.12000000000000001,True,True,0.07528808419267885,0.06471191580732116,True,False,False,False,False,False,False,2
